chembl_id,name,smiles,inchi_key,molecular_weight,alogp,hbd,hba,psa,rotatable_bonds,heavy_atoms,max_phase
CHEMBL457,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,250.34,3.57,1.0,2.0,46.53,6.0,18.0,4.0
CHEMBL45,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,232.28,1.86,2.0,2.0,54.12,4.0,17.0,4.0
CHEMBL46,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,FELGMEQIXOGIFQ-UHFFFAOYSA-N,293.37,3.13,0.0,4.0,39.82,2.0,22.0,4.0
CHEMBL49,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,QWCRAEMEVRGPNT-UHFFFAOYSA-N,385.51,2.09,0.0,6.0,69.64,6.0,28.0,4.0
CHEMBL51,KETANSERIN,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,FPCCSQOGAWCVBH-UHFFFAOYSA-N,395.43,2.42,1.0,5.0,75.17,5.0,29.0,4.0
CHEMBL460,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,KLPWJLBORRMFGK-UHFFFAOYSA-N,276.38,1.96,1.0,3.0,45.33,3.0,20.0,4.0
CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,375.87,4.43,1.0,3.0,40.54,6.0,26.0,4.0
CHEMBL55,PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,XDRYMKDFEDOLFX-UHFFFAOYSA-N,340.43,2.88,4.0,4.0,118.2,10.0,25.0,4.0
CHEMBL463,AMINOHIPPURIC ACID,Nc1ccc(C(=O)NCC(=O)O)cc1,HSMNQINEKMPTIC-UHFFFAOYSA-N,194.19,0.08,3.0,3.0,92.42,3.0,14.0,4.0
CHEMBL464,ETRETINATE,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,HQMNCQVAMBCHCO-DJRRULDNSA-N,354.49,5.65,0.0,3.0,35.53,7.0,26.0,4.0
